神刀に選ばれし皇女 カムイ(女),Corrin B02-051SR Fire Emblem 0 Cipher Booster 2 Mint FE If Fates Heroes
暗黒の聖騎士 マークス,Xander B02-056SR Fire Emblem 0 Cipher Mint Booster 2 FE If Fates Heroes
美しき死神 カミラ,Camilla B02-058SR Fire Emblem 0 Cipher Booster 2 FE Heroes If Fates
ダークネス・プリンス レオン,Leo B02-060SR Fire Emblem 0 Cipher Booster 2 FE Heroes If Fates
暗天の明星 エリーゼ,
ファイティング・バトラー ジョーカー,Jakob: B02-080SR Fire Emblem 0 Cipher Booster Part 2 Mint FE Heroes
神剣の勇将 アイク,Ike B03-001SR Fire Emblem 0 Cipher Booster 3 FE Heroes Path Radiance
再興を祈る翼 エリンシア,Elincia B03-004SR Fire Emblem 0 Cipher Booster 3 FE Heroes Path Radiance
聖心の戦乙女 ミスト,Mist B03-006SR Fire Emblem 0 Cipher Booster 3 FE Heroes Path Radiance
勇将の軍師 セネリオ,Soren B03-010SR Fire Emblem 0 Cipher Booster 3 FE Heroes Path Radiance
宿敵を待つ少女 ワユ,Mia B03-021SR Fire Emblem 0 Cipher Booster 3 FE Heroes Path Radiance
神装の魔将 漆黒の騎士,Black Knight B03-047SR Fire Emblem 0 Cipher Booster 3 FE Heroes Path Radiance
終焔の白神子 カムイ(女),
黎明の歌姫 アクア,Azura B03-053SR Fire Emblem 0 Cipher Mint Booster 3 Awakening FE Heroes
挺身の風忍 スズカゼ,Kaze B03-058SR Fire Emblem 0 Cipher Booster 3 FE Heroes If Fates
終焔の黒神子 カムイ(男),Corrin (Male): B03-076SR Fire Emblem 0 Cipher Booster Part 3 Mint FE If Fates
逢魔の歌姫 アクア,
氷のメイド フローラ,Flora B03-085SR Fire Emblem 0 Cipher Mint Booster 3 FE If Fates Heroes
セイクリッドアイドル 織部 つばさ,Tsubasa Oribe B04-001SR Fire Emblem 0 Cipher Booster 4 Tokyo Mirage
覚醒するヒーロー 赤城 斗馬,Touma Akagi B04-005SR Fire Emblem 0 Cipher Card FE Tokyo Mirage Heroes
光の英雄王 マルス,Marth B04-018SR Fire Emblem 0 Cipher FE Heroes Booster 4 Mystery of
灼赤の将姫 ミネルバ,Minerva B04-036SR Fire Emblem 0 Cipher Booster 4 Mint FE Mystery of Heroes
暗黒皇帝 ハーディン,Hardin B04-044SR Fire Emblem 0 Cipher Booster 4 Mint FE Mystery of Heroes
救国の聖女 ニーナ,Nyna B04-048SR Fire Emblem 0 Cipher FE Heroes Booster 4 Mystery of
ザ・ライトスタッフ 蒼井 樹,Itsuki Aoi: B04-051SR Fire Emblem 0 Cipher Booster 4 Mint FE Mirage Sessions
聖瞳の公主 ルキナ,Lucina B04-063SR Fire Emblem 0 Cipher Booster 4 Mint FE Awakening Heroes
聖王の神軍師 ルフレ(男),Robin Male B04-065SR Fire Emblem 0 Cipher FE Booster 4 Awakening Heroes
フェリアの鬼神 ロンクー,Lon'qu B04-067SR Fire Emblem 0 Cipher FE Heroes Booster 4 Awakening
パーフェクト・ジーニアス ティアモ,Cordelia B04-072SR Fire Emblem 0 Cipher Booster 4 Mint FE Awakening Heroes
愛慕の闘剣 セレナ,
封炎を受け継ぎし者 ロイ,Roy: B05-001SR Fire Emblem 0 Cipher Booster Part 5 Mint FE Heroes
可憐な盟主 リリーナ,Lilina B05-004SR Fire Emblem 0 Cipher Booster 5 FE Heroes Binding Blade
緋怨の修羅 ルトガー,Rutger: B05-029SR  Fire Emblem 0 Cipher Booster Part 5 Mint FE Heroes
剣聖を継ぐ者 フィル,Fir B05-034SR Fire Emblem 0 Cipher Booster 5 FE Heroes Binding Blade
竜血を継ぐ巫女 ソフィーヤ,Sophia B05-042SR Fire Emblem 0 Cipher Booster 5 FE Heroes Binding Blade
狡猾なる竜将 ナーシェン,Narcian B05-048SR Fire Emblem 0 Cipher Booster 5 Mint FE Binding Blade Heroes
希望の巫女 ミカヤ,Micaiah B05-051SR Fire Emblem 0 Cipher Booster 5 Mint FE Radiant Dawn Heroes
希望の守護者 サザ,Sothe B05-054SR  Fire Emblem 0 Cipher Mint FE Path of Radiance Heroes
永遠なる忠誠の槍 ジョフレ（エ...,Geoffrey B05-082SR Fire Emblem 0 Cipher Booster 5 FE Heroes Path Radiance
ベグニオン皇帝 サナキ,Sanaki B05-086SR Fire Emblem 0 Cipher Mint Booster 5 FE Radiant Dawn Heroes
蒼炎の勇者 アイク,
頂へ昇る剣士 ワユ,
光の戦士の末裔 シグルド,Sigurd B06-001SR  Fire Emblem 0 Cipher Mint Booster 8 FE Holy War
運命の聖女 ディアドラ,Deirdre B06-004SR Fire Emblem 0 Cipher Mint Booster 6 FE Holy War Heroes
聖光を纏う槍騎 キュアン,Quan B06-006SR Fire Emblem 0 Cipher Booster 6 Mint FE Holy War Heroes
流星の剣姫 アイラ,Ayra B06-024SR Fire Emblem 0 Cipher Mint FE Heroes Booster 6 Holy War
導きの風 レヴィン,Lewyn B06-033SR Fire Emblem 0 Cipher Mint FE Heroes Booster 6 Holy War
神炎の継承者 アルヴィス,Arvis B06-047SR Fire Emblem 0 Cipher Mint FE Heroes Booster 6 Holy War
暗夜王国を統べる者 マークス,Xander B06-051SR Fire Emblem 0 Cipher Booster 6 Mint FE If Fates Heroes
麗しき漆黒姫 カミラ,Camilla B06-054SR Fire Emblem 0 Cipher Booster 6 Mint FE If Fates Heroes
冷魔の闇皇子 レオン,Leo B06-056SR Fire Emblem 0 Cipher Booster 6 Mint FE If Fates Heroes
暗野に咲く姫花 エリーゼ,Elise B06-058SR Fire Emblem 0 Cipher Booster Part 6 Mint FE Heroes If Fates
荒ぶる女子力 シャーロッテ,
透魔竜 ハイドラ,Anankos: B06-097SR Fire Emblem 0 Cipher Mint FE Heroes Booster Part 6
烈火を継ぐ勇者 エリウッド,Eliwood B07-001SR Fire Emblem 0 Cipher Booster 7 Mint FE Blazing Blade Heroes
剛腕の猛将 ヘクトル,Hector B07-004SR Fire Emblem 0 Cipher Booster 7 Mint FE Heroes Blazing Blade
精霊に認められし剣姫 リン,Lyn B07-007SR Fire Emblem 0 Cipher Booster 7 Mint FE Heroes Blazing Blade
宿命の竜少女 ニニアン,Ninian B07-010SR Fire Emblem 0 Cipher Booster 7 Mint FE Heroes Blazing Blade
魔道の申し子 ニノ,Nino B07-039SR Fire Emblem 0 Cipher Booster 7 Mint FE Blazing Blade Heroes
裁きの白狼 ロイド,Lloyd B07-044SR Fire Emblem 0 Cipher Booster 7 Mint FE Heroes Blazing Blade
白夜王国を統べる者 リョウマ,Ryoma B07-051SR Fire Emblem 0 Cipher Booster 7 Mint FE Heroes If Fates
勇ましき真紅の翼 ヒノカ,Hinoka: B07-054SR Fire Emblem 0 Cipher Booster Part 7 Mint FE Heroes
白き光風の王子 タクミ,Takumi B07-056SR Fire Emblem 0 Cipher Booster 7 Mint FE Heroes If Fates
白夜に舞う桜花 サクラ,
艶姿槍乙女 オボロ,Oboro B07-066SR Fire Emblem 0 Cipher Booster 7 Mint FE If Fates Heroes
異形神 ハイドラ（エラッタカー...,Anankos: B07-097SR Fire Emblem 0 Cipher Booster Part 7 Mint FE
希望の聖君主 クロム,Chrom B08-001SR Fire Emblem 0 Cipher Booster 8 Mint FE Awakening Heroes
不死なる絶望の君主 クロム,Chrom B08-002SR Fire Emblem 0 Cipher Booster 8 Mint FE Awakening Heroes
伝説の軍師 ルフレ(女),Robin (Female) B08-006SR Fire Emblem 0 Cipher Booster 8 Mint FE Heroes Awakening
聖王の守護騎士 フレデリク,Frederick B08-009SR Fire Emblem 0 Cipher Mint FE Booster 8 Awakening Heroes
ロザンヌの英雄 セルジュ,Cherche: B08-028SR Fire Emblem 0 Cipher Mint FE Booster 8 Awakening
魔性の黒翼 インバース,
光の救世主 セリス,Seliph B08-051SR  Fire Emblem 0 Cipher Mint Booster 8 FE Thracia 776 Heroes
光の神の末裔 ユリア,Julia B08-054SR Fire Emblem 0 Cipher Booster 8 Mint FE Heroes Holy War
流星の剣皇 シャナン,Shannan: B08-076SR Fire Emblem 0 Cipher Mint FE Heroes Booster Part 8
正義の大泥棒 パティ,Patty: B08-079SR Fire Emblem 0 Cipher Mint FE Heroes Booster Part 8
聖光を継ぐ竜姫 アルテナ,Altena B08-091SR Fire Emblem 0 Cipher Booster 8 Mint FE Heroes Holy War
暗黒を宿す皇子 ユリウス,
予言されし勇者 アルム,Alm: B09-001SR Fire Emblem 0 Cipher Mint FE Booster Series 9 Echoes
女神の血を継ぎし者 セリカ,Celica B09-004SR Fire Emblem 0 Cipher Booster 9 Mint FE Heroes Echoes
余裕の凄技 グレイ(バレンシア),Gray B09-007SR Fire Emblem 0 Cipher Booster 9 Mint FE Heroes Echoes
高貴なる解放の翼 クレア,Clair B09-021SR Fire Emblem 0 Cipher Booster 9 Mint FE Heroes Echoes
猪突猛進マジックガール メイ,Mae B09-025SR Fire Emblem 0 Cipher Booster 9 Mint FE Heroes Echoes
白亜の守護騎士 コンラート,Conrad B09-043SR Fire Emblem 0 Cipher Booster 9 Mint FE Echoes Heroes
碧き覇者 アル,Al B09-051SR Fire Emblem 0 Cipher Booster 9 Mint FE Binding Blade Heroes
タニアの光 ティーナ,Tiena B09-056SR Fire Emblem 0 Cipher Booster 9 Mint FE Binding Blade Heroes
ベルン国王 ゼフィール,Zephiel B09-073SR Fire Emblem 0 Cipher Booster 9 Mint FE Heroes Binding Blade
王牙の後継者 スクリミル,Skrimir B09-076SR Fire Emblem 0 Cipher Booster 9 Mint FE Heroes Path Radiance
希望を紡ぐ者 イナ,Ena B09-085SR Fire Emblem 0 Cipher Booster 9 Mint FE Heroes Path Radiance
赤心の神竜騎 ジル,Jill B09-097SR Fire Emblem 0 Cipher Mint Booster 9 FE Radiant Dawn Heroes
未来の賢王 リーフ,Leif B10-001SR Fire Emblem 0 Cipher Booster 10 Mint FE Thracia 776 Heroes
ブレイブ・プリンセス ナンナ,Nanna B10-004SR Fire Emblem 0 Cipher Mint FE Booster 10 Thracia 776 Heroes
伝説の勇蒼 フィン,Fin B10-007SR Fire Emblem 0 Cipher Booster 10 Mint FE Thracia 776 Heroes
青の魔道騎士 オルエン,Olwen: Blue Mage Knight B10-031SR Fire Emblem 0 Cipher NM Thracia 776 FE Heroes
おちゃめな聖女 ティナ,Tina B10-036SR Fire Emblem 0 Cipher Booster 10 Mint FE Thracia 776 Heroes
天を裂く氷風 ミーシャ,Misha B10-042SR Fire Emblem 0 Cipher Booster 10 Mint FE Thracia 776 Heroes
夜を越えし姫 カンナ(女),Kana (Female): B10-051SR Fire Emblem 0 Cipher Mint FE Booster Series 10 If Fate
夜を越えし王子 カンナ(男),Kana (Male) B10-053SR Fire Emblem 0 Cipher Booster 10 Mint FE Heroes If Fates
眩き光竜の神子 カムイ(男),Corrin B10-055SR Fire Emblem 0 Cipher Mint FE Booster 10 If Fates Heroes
昏き闇竜の神子 カムイ(女),
金翼の王子 アルフォンス,Alfonse B10-087SR Fire Emblem 0 Cipher Booster 10 Mint FE Heroes
閉ざされし皇姫 ヴェロニカ,Veronica B10-097SR Fire Emblem 0 Cipher Booster 10 Mint FE Heroes
碧風の優王女 エイリーク,Eirika B11-001SR Fire Emblem 0 Cipher Mint Promotion card FE Sacred Stone Heroes
碧空の勇王 エフラム,Ephraim B11-004SR Fire Emblem 0 Cipher Booster 11 Mint FE Sacred Stones Heroes
稀代の天才魔道士 ルーテ,
風来王 ヨシュア,Joshua B11-020SR Fire Emblem 0 Cipher Booster 11 Mint FE Sacred Stones Heroes
愛と友情の翼 ターナ,Tana B11-027SR Fire Emblem 0 Cipher Booster 11 Mint FE Sacred Stones Heroes
花開く才能 アメリア,Amelia B11-029SR Fire Emblem 0 Cipher FE Heroes Booster 11 Sacred Stones
覇道に目覚めし者 アルム,Alm B11-051SR Fire Emblem 0 Cipher FE Heroes Booster 11 Echoes
王道に目覚めし乙女 セリカ,Celica B11-053SR Fire Emblem 0 Cipher FE Heroes Booster 11 Echoes
闇まとう魔道少女 デューテ,Delthea B11-063SR Fire Emblem 0 Cipher Booster 11 Mint FE Echoes Heroes
輝く日輪の王子 シオン,
麗しき陽花の王女 リアン,Lianna B11-079SR Fire Emblem 0 Cipher Booster 11 FE Heroes
目覚めし竜王の娘 チキ,Tiki  B11-093SR Fire Emblem 0 Cipher Booster 11 FE Awakening Heroes
蒼焔の神将 アイク,Ike B12-001SR Fire Emblem 0 Cipher Booster 12 FE Path Radiance Heroes
悪夢の暴勇 アイク,Ike B12-002SR Fire Emblem 0 Cipher FE Heroes Booster 12 Path Radiance
正なる癒しの戦騎 ミスト,
女神宿りし乙女 ミカヤ,
旭光に舞う神天馬 マーシャ,Marcia B12-016SR Fire Emblem 0 Cipher Booster 12 FE Path Radiance Heroes
凄絶なる劍将 漆黒の騎士,Black Knight B12-037SR Fire Emblem 0 Cipher Booster 12 FE Path Radiance Heroes
ホーリー・プリンセス リズ,Lissa B12-054SR Fire Emblem 0 Cipher Booster 12 FE Awakening Heroes
千年の遊竜 ノノ,Nowi B12-059SR Fire Emblem 0 Cipher Booster 12 FE Awakening Heroes
神を超える覇王 ヴァルハルト,Walhart B12-071SR Fire Emblem 0 Cipher FE Heroes Booster 12 Awakening
獅子心の騎士王 エルトシャン,Eldigan B12-075SR Fire Emblem 0 Cipher Mint FE Booster 12 Holy War Heroes
獅子王女 ラケシス,Lachesis B12-078SR Fire Emblem 0 Cipher Mint FE Booster 12 Holy War Heroes
雷神と呼ばれし少女 イシュタル,Ishtar B12-097SR Fire Emblem 0 Cipher Mint FE Booster 12 Holy War Heroes
烈炎の勇騎士 エリウッド,Eliwood B13-001SR Fire Emblem 0 Cipher Booster 13 FE Blazing Blade Heroes
青嵐の刀姫 リン,Lyn B13-004SR Fire Emblem 0 Cipher Booster 13 FE Blazing Blade Heroes
ゴーイング・マイ・ウェイ！ セーラ,Serra B13-012SR Fire Emblem 0 Cipher Booster 13 FE Blazing Blade Heroes
風に乗る想曲 ニルス,Nils B13-016SR Fire Emblem 0 Cipher Booster 13 FE Blazing Blade Heroes
激雷の闘将 ヘクトル,Hector B13-019SR Fire Emblem 0 Cipher Booster 13 FE Blazing Blade Heroes
無明の微笑み カナス,Canas B13-022SR Fire Emblem 0 Cipher Booster 13 FE Blazing Blade Heroes
神剣に選ばれし英雄 マルス,Marth B13-051SR Fire Emblem 0 Cipher Booster 13 FE Mystery of Heroes
英雄王の翼 シーダ,Caeda B13-053SR Fire Emblem 0 Cipher Booster 13 FE Mystery of Heroes
報恩の牙 アテナ,Athena B13-073SR Fire Emblem 0 Cipher FE Heroes Booster 13 Mystery of
闇を打ち破る光 リンダ,Linde B13-075SR Fire Emblem 0 Cipher FE Heroes Booster 13 Mystery of
夢は英友千人です！ シャロン,Sharena B13-086SR Fire Emblem 0 Cipher FE Heroes Booster 13
凍土に咲く氷華 フィヨルム,
希望を統べる女王 ルキナ,Lucina B14-001SR Fire Emblem 0 Cipher Mint Booster 14 FE Heroes Awakening
神謀神策の軍師 ルフレ(男),
未来からの来訪者 ルフレ(女),Robin B14-008SR Fire Emblem 0 Cipher Booster 14 FE Awakening Heroes
ウイングド・ジャスティス シンシア,Cynthia B14-022SR Fire Emblem 0 Cipher Mint FE Booster 14 Awakening FE Heroes
芳花のダンシング・ソード アズール,
破滅と絶望の竜 ギムレー,Grima (Robin) B14-043SR Fire Emblem 0 Cipher Booster 14 FE Awakening Heroes
闇の去り行く暁 カムイ(男),Corrin (Male) B14-051SR Fire Emblem 0 Cipher Booster 14 FE Heroes Awakening
すべての路の果てに アクア,Azura B14-054SR Fire Emblem 0 Cipher Booster 14 FE If Fates Heroes
黎闇の魔道王 レオン,Leo B14-072SR Fire Emblem 0 Cipher Booster 14 FE If Fates Heroes
塗り替えられぬ伝説 ガウェイン,Gawain B14-078SR Fire Emblem 0 Cipher Booster 14 FE Path Radiance Heroes
真金の教導者 ティアマト,Titania B14-081SR Fire Emblem 0 Cipher Mint FE Radiant Dawn Heroes
ひだるき大賢者 イレース,Ilyana B14-097SR Fire Emblem 0 Cipher Booster 14 FE Path Radiance Heroes
幸せな夢と共に カタリナ,Katarina B15-005SR  Fire Emblem 0 Cipher Mint Booster 15 FE Mystery of Heroes
超魔法に選ばれし者 マリク,Merric B15-013SR Fire Emblem 0 Cipher Booster 15 MInt FE Mystery Heroes
果て無き闘いの荒野で オグマ,Ogma B15-015SR Fire Emblem 0 Cipher Booster 15 FE Heroes Mystery of
ドラゴン・プリンセス チキ,Tiki B15-033SR Fire Emblem 0 Cipher Booster 15 Mystery of FE Heroes
飛竜を駆る魔道姫 マリア,Maria B15-039SR Fire Emblem 0 Cipher Mint FE Booster 15 Mystery of Heroes
殺戮人形 クライネ,Clarisse B15-042SR Fire Emblem 0 Cipher Booster 15 Mint Mystery of FE Heroes
光去り行く黄昏 カムイ(女),
イエス・ユア・ハイネス ジョーカー,Jakob B15-062SR Fire Emblem 0 Cipher Booster 15 FE Heroes If Fates
灼陽の天空王 ヒノカ,Hinoka B15-071SR Fire Emblem 0 Cipher Booster 15 FE If Fates Heroes
二つの聖血を引く王子 リーフ,Leif B15-076SR Fire Emblem 0 Cipher Booster 15 FE Thracia 776 Heroes
願うは争い無き天地 アルテナ,Altena B15-078SR Fire Emblem 0 Cipher Booster 15 FE Thracia 776 Heroes
聖騎士トードの再来 ラインハルト,Reinhardt B15-098SR Fire Emblem 0 Cipher Booster 15 Mint FE Thracia 776 Heroes
人と竜の未来を創る者 ロイ,Roy B16-001SR Fire Emblem 0 Cipher Booster 16 FE Heroes Binding Blade
業火と煌炎を操る者 リリーナ,Lilina B16-004SR Fire Emblem 0 Cipher Booster 16 FE Binding Blade Heroes
天雷にて地を穿つ者 ディーク,Deke B16-007SR Fire Emblem 0 Cipher Booster 16 FE Binding Blade Heroes
氷雪にて空を貫く者 ミレディ,Milady B16-027SR Fire Emblem 0 Cipher Booster 16 FE Binding Blade Heroes
黙示と共に闇を歩む者 ソフィーヤ,
邪神の贄となりし乙女 セリカ,Celica B16-041SR Fire Emblem 0 Cipher Booster 16 FE Heroes Echoes
可憐なる闇の統治者 メイ,Mae B16-044SR Fire Emblem 0 Cipher Booster 16 FE Echoes Heroes
恐るべき戦鬼 セーバー,Saber B16-049SR Fire Emblem 0 Cipher Booster 16 FE Echoes Heroes
聖帝と称えられし者 サナキ,Sanaki B16-066SR Fire Emblem 0 Cipher Booster 16 FE Path Radiance Heroes
皇帝を護りし神翼 シグルーン,Sigrun B16-069SR Fire Emblem 0 Cipher Booster 16 FE Path Radiance Heroes
次代の竜鱗の王 クルトナーガ,Kurthnaga B16-081SR Fire Emblem 0 Cipher Booster 16 FE Path Radiance Heroes
優しき死神 エイル,Eir B16-091SR Fire Emblem 0 Cipher Booster 16 FE Heroes
愛と勇気の英雄王 マルス,Marth B17-001SR Fire Emblem 0 Cipher Booster 17 FE Heroes Mystery of
剣に生きる修羅 ナバール,Navarre B17-007SR Fire Emblem 0 Cipher Booster 17 FE Mystery of Heroes
悠遠なる未来に向かって チキ,Tiki B17-011SR Fire Emblem 0 Cipher Mint Booster FE Heroes
正義と絆の聖王 クロム,Chrom B17-018SR Fire Emblem 0 Cipher Mint FE Booster Series 17 Awakening
大空に咲く優花 スミア,Sumia B17-027SR Fire Emblem 0 Cipher Mint Awakening FE Booster 17 Heroes
白夜を翔ける風神 タクミ,Takumi: B17-035SR Fire Emblem 0 Cipher Mint Booster Series 17 If Fates
忠義の翠嵐 スズカゼ,Kaze B17-039SR Fire Emblem 0 Cipher Booster 17 FE If Fates Heroes
暗夜を焦がす狂情 カミラ,
サポート&デストロイ！ フェリシア,
静かなる凄風 セネリオ,Soren B17-065SR Fire Emblem 0 Cipher Booster 17 FE Path Radiance Heroes
天空の王者 ティバーン,Tibarn B17-073SR Fire Emblem 0 Cipher Booster 13 FE Heroes Path Radiance
世界を解放せんとする者 ゼフィール,
双聖器を受け継ぐ姫 エイリーク,Eirika B17-086SR Fire Emblem 0 Cipher Booster 17 FE Heroes Sacred Stones
気高き理想の下に シグルド,Sigurd B17-095SR Fire Emblem 0 Cipher Booster 17 FE Holy War Heroes
神血を宿す乙女 ディアドラ,Deirdre B17-097SR Fire Emblem 0 Cipher Booster 17 FE Heroes Holy War
至天の世界の王子 アルフォンス,
炎をその身に宿せし者 ベレト,Byleth B18-001SR Fire Emblem 0 Cipher Booster 18 Mint FE Three Houses
覇道を征く皇帝 エーデルガルト,Edelgard B18-004SR Fire Emblem 0 Cipher Booster 18 FE Three Houses Heroes
復讐と妄執の王 ディミトリ,Dimitri B18-018SR Fire Emblem 0 Cipher Mint FE Booster 18 Three Houses Heroes
理想の騎士を目指して イングリット,Ingrid: B18-030SR Fire Emblem 0 Cipher Mint FE Booster Series 18 Three Houses
卓上の鬼神 クロード(フォドラ),Claude B18-032SR Fire Emblem 0 Cipher Booster 18 FE Three Houses Heroes
小さな大器 リシテア,
絶望の支配者 ギムレー,Grima (Robin) B18-051SR Fire Emblem 0 Cipher Booster 18 FE Heroes Awakening
舞い降りる闇翼の才騎 ティアモ,Cordelia B18-060SR Fire Emblem 0 Cipher Booster 18 FE Three Houses Heroes
ミストレス・オブ・カース サーリャ,Tharja B18-067SR Fire Emblem 0 Cipher Mint FE Booster 18 Awakening Heroes
双聖器を受け継ぐ王子 エフラム,Ephraim B18-076SR Fire Emblem 0 Cipher Mint FE Booster 18 Sacred Stones Heroes
正義と秩序の使者 ラーチェル,L'arachel B18-085SR Fire Emblem 0 Cipher Mint FE Booster 18 Sacred Stone Heroes
「緋閃」と呼ばれた少女 マリカ,
神に刃を向ける者 エーデルガルト,Edelgard B19-001SR Fire Emblem 0 Cipher Mint FE Booster 19 Three Houses
女帝の懐刀 ヒューベルト,
女神をその身に宿せし者 ベレス,Byleth Female B19-019SR Fire Emblem 0 Cipher Mint FE Booster Three Houses
はじまりのもの ソティス,Sothis : B19-022SR Fire Emblem 0 Cipher FE Booster Series 19 Three Houses
好奇心旺盛な乙女 フレン,Flayn: B19-040SR Fire Emblem 0 Cipher FE Booster Series 19 Three Houses
聖教会の大司教補佐 セテス,
神々の血を引く聖王 セリス,Seliph: B19-051SR Fire Emblem 0 Cipher FE Booster 19 Genealogy Holy War
聖者の裔たる光女 ユリア,Julia B19-054SR Fire Emblem 0 Cipher Mint FE Booster 19 Holy War Heroes
憂国の射命弓 ジャムカ,Jamke B19-064SR Fire Emblem 0 Cipher Mint FE Booster 19 Holy War Heroes
蘇りし風 レヴィン,Lewyn: B19-068SR Fire Emblem 0 Cipher FE Booster 19 Genealogy Holy War
銀天に舞う純白騎 フュリー,Fury B19-070SR Fire Emblem 0 Cipher Mint FE Booster 19 Holy War Heroes
一騎当神の流星 ラクチェ,
新たな未来を拓く王 カムイ（透...,Corrin Male B20-001SR Fire Emblem 0 Cipher Mint FE Booster 20 If Fates Heroes
闇と歩む勇光の王 リョウマ,Ryoma B20-010SR Fire Emblem 0 Cipher Mint FE Booster 20 If Fates Heroes
満点桜の乙女武者 カザハナ,Hana B20-016SR Fire Emblem 0 Cipher Booster 20 FE Heroes If Fates
光と歩む清闇の王 マークス,Xander B20-023SR Fire Emblem 0 Cipher Booster 20 FE Heroes If Fates
フォビドゥン・キャスター ニュクス,
永遠なる真の友 サイラス,Silas B20-037SR Fire Emblem 0 Cipher Booster 20 FE Heroes If Fates Heroes
デイン第１５代国王 ミカヤ,Micaiah B20-051SR Fire Emblem 0 Cipher Booster 20 Mint FE Heroes Path Radiance
暁を呼ぶ風 サザ,Sothe B20-054SR Fire Emblem 0 Cipher Booster 20 FE Heroes Path Radiance
新たな伝説を創る者 アイク,Ike B20-056SR  Fire Emblem 0 Cipher Mint If Fates FE Heroes Path Radiance
クリミアの心 エリンシア,Elincia B20-072SR Fire Emblem 0 Cipher Promotion Card FE Heroes Path Radiance
誓約に呪われし王子 ペレアス,Pelleas : B20-088SR Fire Emblem 0 Cipher Booster 20 FE Heroes Path Radiance
自由と混沌の女神 ユンヌ,Yune B20-097SR Fire Emblem 0 Cipher Booster 20 Mint FE Heroes Path Radiance
目醒めし救国の王 ディミトリ,
慈愛の微笑み メルセデス,Mercedes B21-011SR Fire Emblem 0 Cipher FE Mint Booster Series 21 Three Houses
夜明けを告げる翼 クロード（フ...,
天翔ける自由人 ヒルダ,Hilda B21-027SR Fire Emblem 0 Cipher FE Mint Booster Series 21 Three Houses
薄闇を統べる者 ユーリス,Yuri B21-034SR Fire Emblem 0 Cipher FE Mint Booster Series 21 Three Houses
「業」を秘めし戦乙女 ハピ,Hapi B21-041SR Fire Emblem 0 Cipher FE Mint Booster Series 21 Three Houses
神将の意志を継ぐ騎士 エリウッド,Eliwood B21-051SR Fire Emblem 0 Cipher FE Mint Booster 21 Blazing Blade
消えぬ復讐の炎 レイヴァン,Raven B21-067SR Fire Emblem 0 Cipher FE Mint Booster 21 Blazing Blade
炎雷の盟主 リリーナ,Lilina B21-071SR Fire Emblem 0 Cipher FE Mint Booster Series 21 Binding Blade
烈火を纏い邪を断つ者 ルトガー,
疾風と共に野を駆ける者 スー,Sue B21-075SR Fire Emblem 0 Cipher FE Mint Booster Series 21 Binding Blade
幸夢を運ぶ少女 ピアニー,Peony B21-091SR Fire Emblem 0 Cipher FE Mint Booster Series 21 Heroes
光をもたらす英雄王 マルス,Marth B22-001SR Fire Emblem 0 Cipher Mystery of FE Booster 22 Heroes
神々の国の英雄王 アルム,Alm B22-002SR Fire Emblem 0 Cipher FE Booster Series 22 Echoes Heroes
聖義を伝えし騎士 シグルド,Sigurd B22-003SR Fire Emblem 0 Cipher FE Booster Series 22 Holy War Heroes
救国済民の勇王子 リーフ,
凶星を灼く封炎 ロイ,Roy B22-005SR Fire Emblem 0 Cipher FE Booster Series 22 Binding Blade Heroes
