亡国の王子 マルス
フレリアの妹姫 ターナ
孤高の槍 クーガー
ロストンの王女 ラーチェル
無邪気な魔道士見習い ユアン
凄腕の女剣士 マリカ
砂漠の傭兵戦士 ジスト
フレリアの兄王子 ヒーニアス
告別の黒鷲 エーデルガルト
ベストラ家の長子 ヒューベルト
誇りを体現する者 フェルディナント
ヘヴリング家の面倒臭がり屋 リ...
喧嘩好きな少年戦士 カスパル
外出断固拒否！ ベルナデッタ
華やかなる魔道 ドロテア
留学中の姫君 ペトラ
空を断つ醒剣 ベレス
神秘の力を持つ童女 ソティス
笑顔になってほしいのさ シルヴァン
ゴーティエ家の放蕩息子 シルヴァン
ドミニク家の秀才 アネット
グロスタール家の御曹司 ローレンツ
神と動物を愛する乙女 マリアンヌ
修道院の女剣士 カトリーヌ
大司教の従者 ツィリル
純真無垢な女生徒 フレン
陽気な騎士団員 アロイス
穢れし魂に神罰を ポー
無垢なる魂に施しを ポー
光の血を継ぐ者 セリス
光の意志を継ぐ者 ユリア
清純な弓騎士 ミデェール
神に仕える公女 エーディン
陽気な盗賊少年 デュー
森湖の国の王子 ジャムカ
愛と運命の果てに ディアドラ
月光を纏う闘将 ホリン
流れる風の王子 レヴィン
シレジアの天馬騎士 フュリー
高貴なるおてんば娘 ティルテュ
剣聖の末裔 スカサハ
血気盛んな剣姫 ラクチェ
剣聖の末裔 ラクチェ
解放軍のシスター ラナ
黒衣の魔剣騎 アレス
無邪気な闖入者 デイジー
コノートのヒットマン アサエロ
見守る姉騎士 マーニャ
混沌に迫る稀種蒐集 ニーヴ
招かれざる閲覧者 ニーヴ
二つの故郷を持つ王子 カムイ（男）
二つの故郷を持つ王女 カムイ（女）
白き王子の娘 カンナ（女）
黒き王女の息子 カンナ（男）
武士道を重んじる騎士 リョウマ
暗姫との異文化交流 サクラ
百の武芸を知る男 サイゾウ
天翔ける少女剣士 カザハナ
王城兵となった令嬢 ユウギリ
魔道に目覚めた王子 キサラギ
騎士道を生きる侍 マークス
白姫との異文化交流 エリーゼ
憧れの忍装束 ピエリ
重装のヒーロー ハロルド
隠棲の幼女 ニュクス
暗夜のファッションリーダー フォレオ
語られざる世界で ギュンター
蘇る篤き友情 サイラス
「誓い」の生まれた日 サイラス
シュヴァリエの赤竜騎 クリムゾン
闇魔術修行中 ユズ
黒軍の乙女将軍 ミカヤ
デインを救う乙女 ミカヤ
ネヴァサの少年盗賊 サザ
神剣を継ぐ青年 アイク
暁の団の見習い剣士 エディ
暁の団の見習い弓兵 レオナルド
純朴なシスター ローラ
闊達な槍兵士 ブラッド
旅する重装少女 メグ
解放軍の竜騎士 ジル
砂漠の国の王女 ニケ
賢王の忘れ形見 エリンシア
荷運びの竜騎士 ハール
裏路地の稼ぎ屋 ヘザー
流麗なる忠剣 ルキノ
デルブレー家の姉剣士 ルキノ
デルブレー家の弟騎士 ジョフレ
蒼炎を継ぐ少女 ミスト
デインの後継者 ペレアス
美の庇護者 オリヴァー
今日は東に明日は西に ランド
報讐の青獅子 ディミトリ
寡黙なる忠義 ドゥドゥー
ロナート領主の養子 アッシュ
女癖の悪い槍兵 シルヴァン
心温かき修道女 メルセデス
品行方正な女兵士 イングリット
世界を繋ぐ金鹿 クロード（フォドラ）
赤薔薇の貴公子 ローレンツ
鍛錬を欠かさぬ青年 ラファエル
勤勉な天才魔道士 リシテア
ゴネリル家の公女 ヒルダ
師匠の思い出を胸に レオニ―
精霊の加護を纏う姫 ペトラ
美しき賊の頭領 ユーリス
灰狼の学級のリーダー ユーリス
アダルブレヒト家の暴れん坊 バ...
ヌーヴェル家のお嬢様 コンスタンツェ
魔獣を呼ぶ少女 ハピ
異郷の傭兵 シャミア
仮面の剣術教師 イエリッツァ
重装の釣り騎士 バルジャン
フェレ侯爵家の嫡男 エリウッド
キアランの公女 リン
イリアの天馬騎士見習い フロリーナ
エリミーヌ教の修道士 ルセア
猛進の斧使い バアトル
勇猛果敢な侯弟 ヘクトル
カルレオンの伯爵令嬢 プリシラ
怨敵を狙う剣士 レイヴァン
信念の竜騎士 ヒース
勇将の血を引く姫 リリーナ
孤高の傭兵 ルトガー
クトラ族長の孫娘 スー
イリアの騎士団員 ノア
剣姫の血を引く剣士 フィル
サカの隼 シン
母性溢れる姉騎士 ユーノ
女神の愛の伝道者 ポー
