高潔なる白刃 サイリ
救世の神竜 ナーガ
望郷の黒太子 アレス
託された想い ナンナ
光の血を引く騎士 シグルド
凄腕の傭兵騎士 ベオウルフ
影に捧ぐ挽歌 マシュー
運命の遭逢 ニニアン
「生きた伝説」の弟子 パント
溢れる愛の弓 ルイーズ
「剣魔」と恐れられし男 カレル
「剣姫」とうたわれし女 カアラ
弔いの剣狼 ロイド
闇に咲く黒花 ソーニャ
巧槍の黒豹 アベル
闘剣の猛牛 カイン
アリティアの守護神 ドーガ
危機に駆けつける弓 ノルン
気高き愛の聖女 レナ
貫く金の意思 アルフォンス
異界の大英雄 エクラ
地を薙ぐ炎剣 レーヴァテイン
封剣の聖騎士 クロム
美しき天才翔騎 ティアモ
時の迷い子 マーク(男)
伝説を作る者…その名は ウード
天才の血を引く少女 セレナ
小さな頑張り屋 ンン
邪竜を崇める邪術師 ファウダー
新たなる覚醒 蒼井 樹
白き竜血を引く王子 リョウマ
青雲に舞う紅姫 ヒノカ
光矢風弓の王子 タクミ
寿ぐ桜花の巫女 サクラ
父の魂を継ぐ者 アイク
神懸かりの一射 シノン
真実の愛を求めて ガトリー
勝負！勝負！また勝負！ ワユ
世界を導く英雄 マルス
もう一人の英雄 クリス(男)
明紅の竜騎 エスト
蒼閃の竜騎 カチュア
翠風の竜騎 パオラ
落日の将姫 シーマ
伝説を携えし王女 エリス
新たなる開花 織部 つばさ
黒き竜血を引く王子 マークス
夜天に踊る妖姫 カミラ
闇駆冷魔の王子 レオン
穢れなき彩花の姫 エリーゼ
地神に連なる王子 キュアン
盟友の誓い セリス
ターラに咲く花 リノアン
トラキア王 トラバント
父譲りの魔才 クラリーネ
陽気な踊り子 ララム
母譲りの弓才 クレイン
久遠なる笑顔 ファ
報国の黒竜騎 ゲイル
暗闇の巫女 イドゥン
聖なる魂をもつ少女 セリカ
叡智の道を極めし者 ボーイ
二つの顔を持つ王子 コンラート
楽園を夢見た女神 ミラ
成長する焔 トパック
祖国を愛する闘槍 ネフェニー
帝国随一の将 ゼルギウス
世界を裁く女神 アスタルテ
塵殺の魔女 スラシル
大いなる皇女 ヴェロニカ
王国弓騎士団の隊長 ジョルジュ
力を振るう決意 アルム
世界を救う決意 セリカ
飛び跳ねバトルシスター リズ
ハリウッドをぶっ飛ばせ！ 弓弦 ...
光射す彼方へ カムイ(女)
純粋無垢な愛妹 サクラ
譬え闇に堕ちるとも カムイ(男)
天真爛漫な愛妹 エリーゼ
神に祝福されし将 アイク
ミカヤの守護者 サザ
甘く切ない贈り物 リリーナ
決戦に挑む勇騎士 エリウッド
消えぬ暖かな想い ニノ
暗黒を秘めし炎 アルヴィス
父に捧ぐ勝利 リーフ
シャイニング・ファルコン エマ
ダークネス・キャスター シェイド
大貴族の誇りと共に フェルディナント
籠城の達人 ベルナデッタ
魅惑の魔道使い ドロテア
高みを目指す刃 フェリクス
柔らかく包む聖笑 メルセデス
育ち続ける筋肉 ラファエル
甘え上手なお嬢様 ヒルダ
「壊刃」と呼ばれし騎士 ジェラルト
闇稼業の報酬 ガイア
竜と友達の勇者 グレゴ
千歳を超える幼子 ノノ
アブソリュート・カワイイ！ 黒...
天かける蛇竜姫 ターナ
艶美の舞 テティス
策謀の弓騎士 ヒーニアス
残虐非道の「月長石」 ヴァルター
眠れる紋章学者 リンハルト
永遠の引き籠もり ベルナデッタ
神秘の歌姫 ドロテア
精霊の鳥の王姫 ペトラ
騎士の国の王子 ディミトリ
「至情」の騎士 シルヴァン
新世界への鏑矢 クロード（フォドラ）
羽ばたく静謐の心 マリアンヌ
固い！強い！勇ましい！ アーダン
友情に篤き槍王子 キュアン
悲劇に抗う聖女 エーディン
踊る心の雷魔戦士 ティルテュ
穏やかな剣豪 スカサハ
義に殉ずる魔剣王 エルトシャン
神雷の継承者 イシュタル
暗黒神の生まれ変わり ユリウス
「白夜」を受け継ぎし姫 カンナ（女）
「暗夜」を受け継ぎし王子 カン...
世界を慈愛で包む姫 サクラ
爆炎の勇者 サイゾウ
叫声を奏でる女大夫 ユウギリ
おもてなしプリンセス エリーゼ
キリング・クノイチ ピエリ
トラブル・イズ・マイライフ ハロルド
敬虔なる聖少女 ローラ
優声の白翼姫 リアーネ
勇心の白翼王子 リュシオン
クリミアの白き刃 ルキノ
クリミアの碧き槍 ジョフレ
女神に愛されし乙女 ミスト
邪神の力を得し狂王 アシュナード
蒼き炎の紋章 メダリオン
獅子の守護者 ドゥドゥー
正義の一矢 アッシュ
「清廉」の騎士 イングリット
フォドラの未来を背負う者 ローレンツ
光闇を極めし魔匠 リシテア
「壊刃」の再臨 レオニ―
不退転の皇女 エーデルガルト
セイロス騎士団の名射手 シャミア
草原を愛する刀姫 リン
立派な翔騎を目指して フロリーナ
オスティア侯 ヘクトル
ずっと兄様のそばに・・・ プリシラ
国境なき騎士 ヒース
果てなき剣の求道者 フィル
妖精郷の槍姫 シャロン
夢魘の使者 スカビオサ
世界を愛で繋ぐ翼 シーダ
もう一人の英雄 クリス（女）
蘇りし暗黒竜 メディウス
赤き炎の司祭 サイアス
三竜将の奸将 ナーシェン
闇からの予見 ノール
蒼炎の軍師 セネリオ
究みを目指す剣聖 ワユ
希望の未来へ歩む姫 ルキナ
白天を翔ける姫武者 ヒノカ
深闇を駆ける魔王子 レオン
春めく皇女 ヴェロニカ
覇を唱えし皇帝 エーデルガルト
修羅となりし騎士王 ディミトリ
神算鬼謀の盟主 クロード（フォドラ）
アガルタの暗殺者 クロニエ
嵐を呼ぶ小学生 源 まもり
それぞれの道へ アル
